Hydrophobicity cutoff,Blob length,Blob hydrophobicity  class,total SNPs,Enrichment,p value,color
0.0,84,h,9,0.37,0.192,"rgb(251.31372549019608, 90.31372549019609, 90.31372549019609)"
0.0,85,h,6,0.26,0.199,"rgb(252.41176470588235, 63.41176470588235, 63.41176470588235)"
0.0,86,h,8,0.44,0.345,"rgb(250.6078431372549, 107.6078431372549, 107.6078431372549)"
0.0,87,h,12,0.0,0.000192,"rgb(255.0, 0.0, 0.0)"
0.0,88,h,13,0.39,0.102,"rgb(251.15686274509804, 94.15686274509802, 94.15686274509802)"
0.0,89,h,23,0.06,2e-06,"rgb(254.45098039215688, 13.450980392156863, 13.450980392156863)"
0.0,90,h,9,0.16,0.0387,"rgb(253.4313725490196, 38.43137254901961, 38.43137254901961)"
0.0,91,h,28,0.36,0.00468,"rgb(251.3921568627451, 88.3921568627451, 88.3921568627451)"
0.0,92,h,14,0.22,0.0119,"rgb(252.80392156862746, 53.80392156862745, 53.80392156862745)"
0.0,93,h,12,0.65,0.542,"rgb(248.49019607843135, 159.49019607843138, 159.49019607843138)"
0.0,94,h,14,0.22,0.0119,"rgb(252.80392156862746, 53.80392156862745, 53.80392156862745)"
0.0,95,h,11,0.0,0.000406,"rgb(255.0, 0.0, 0.0)"
0.0,96,h,12,0.12,0.00481,"rgb(253.8235294117647, 28.823529411764707, 28.823529411764707)"
0.0,97,h,22,0.06,4.07e-06,"rgb(254.45098039215688, 13.450980392156863, 13.450980392156863)"
0.0,98,h,34,0.62,0.121,"rgb(248.80392156862746, 151.80392156862746, 151.80392156862746)"
0.0,99,h,23,0.12,2.81e-05,"rgb(253.8235294117647, 28.823529411764707, 28.823529411764707)"
0.0,100,h,17,0.28,0.0132,"rgb(252.25490196078434, 67.25490196078432, 67.25490196078432)"
0.01,7,h,3,0.0,0.184,"rgb(255.0, 0.0, 0.0)"
0.01,8,h,1,0.0,1.0,"rgb(255.0, 0.0, 0.0)"
0.01,9,h,4,3.92,0.0427,"rgb(0.0, 0.0, 255.0)"
0.01,11,h,2,0.0,0.415,"rgb(255.0, 0.0, 0.0)"
0.01,12,h,1,0.0,1.0,"rgb(255.0, 0.0, 0.0)"
0.01,14,h,5,0.0,0.0384,"rgb(255.0, 0.0, 0.0)"
0.01,17,h,3,0.65,1.0,"rgb(248.49019607843135, 159.49019607843138, 159.49019607843138)"
0.01,18,h,8,1.31,0.557,"rgb(169.09803921568627, 169.09803921568627, 248.09803921568627)"
